avaliacao_id,consulta_id,pergunta,documento,nivel_dificuldade,modelo_llm,nota,comentario,avaliador,data_hora
1,1,"Como a lei define ""pessoa com deficiência"" para fins de aposentadoria?",lc 142 2013 facil,facil,deepseek,5,,Lucas Martini (estudante do 9º período de direito e assistente jurídico),2026-06-15T03:48:36.257886
2,1,"Como a lei define ""pessoa com deficiência"" para fins de aposentadoria?",lc 142 2013 facil,facil,maritaca,5,,Lucas Martini (estudante do 9º período de direito e assistente jurídico),2026-06-15T03:48:36.289209
3,1,"Como a lei define ""pessoa com deficiência"" para fins de aposentadoria?",lc 142 2013 facil,facil,openai,4,,Lucas Martini (estudante do 9º período de direito e assistente jurídico),2026-06-15T03:48:36.309699
4,2,Quem atesta o grau de deficiência do segurado?,lc 142 2013 facil,facil,deepseek,5,,Lucas Martini (estudante do 9º período de direito e assistente jurídico),2026-06-15T03:49:20.133476
5,2,Quem atesta o grau de deficiência do segurado?,lc 142 2013 facil,facil,openai,5,,Lucas Martini (estudante do 9º período de direito e assistente jurídico),2026-06-15T03:49:20.156196
6,2,Quem atesta o grau de deficiência do segurado?,lc 142 2013 facil,facil,maritaca,5,,Lucas Martini (estudante do 9º período de direito e assistente jurídico),2026-06-15T03:49:20.179660
7,3,A comprovação de tempo de contribuição como segurado com deficiência pode ser feita por prova exclusivamente testemunhal?,lc 142 2013 facil,facil,maritaca,3,,Lucas Martini (estudante do 9º período de direito e assistente jurídico),2026-06-15T03:51:04.538174
8,3,A comprovação de tempo de contribuição como segurado com deficiência pode ser feita por prova exclusivamente testemunhal?,lc 142 2013 facil,facil,deepseek,4,,Lucas Martini (estudante do 9º período de direito e assistente jurídico),2026-06-15T03:51:04.556106
9,3,A comprovação de tempo de contribuição como segurado com deficiência pode ser feita por prova exclusivamente testemunhal?,lc 142 2013 facil,facil,openai,4,,Lucas Martini (estudante do 9º período de direito e assistente jurídico),2026-06-15T03:51:04.570391
10,4,Quais são os requisitos para a concessão do Benefício de Prestação Continuada (BPC)?,lei 8742 93 medio,medio,maritaca,2,,Lucas Martini (estudante do 9º período de direito e assistente jurídico),2026-06-15T03:53:45.222384
11,4,Quais são os requisitos para a concessão do Benefício de Prestação Continuada (BPC)?,lei 8742 93 medio,medio,deepseek,3,,Lucas Martini (estudante do 9º período de direito e assistente jurídico),2026-06-15T03:53:45.238471
12,4,Quais são os requisitos para a concessão do Benefício de Prestação Continuada (BPC)?,lei 8742 93 medio,medio,openai,2,,Lucas Martini (estudante do 9º período de direito e assistente jurídico),2026-06-15T03:53:45.252286
13,5,O benefício pode ser acumulado com outros benefícios da seguridade social?,lei 8742 93 medio,medio,deepseek,4,,Lucas Martini (estudante do 9º período de direito e assistente jurídico),2026-06-15T03:55:09.244600
14,5,O benefício pode ser acumulado com outros benefícios da seguridade social?,lei 8742 93 medio,medio,openai,5,,Lucas Martini (estudante do 9º período de direito e assistente jurídico),2026-06-15T03:55:09.261560
15,5,O benefício pode ser acumulado com outros benefícios da seguridade social?,lei 8742 93 medio,medio,maritaca,5,,Lucas Martini (estudante do 9º período de direito e assistente jurídico),2026-06-15T03:55:09.280057
16,6,Qual o critério de renda familiar para ter direito ao benefício?,lei 8742 93 medio,medio,maritaca,3,,Lucas Martini (estudante do 9º período de direito e assistente jurídico),2026-06-15T03:59:37.793328
17,6,Qual o critério de renda familiar para ter direito ao benefício?,lei 8742 93 medio,medio,deepseek,4,,Lucas Martini (estudante do 9º período de direito e assistente jurídico),2026-06-15T03:59:37.811435
18,6,Qual o critério de renda familiar para ter direito ao benefício?,lei 8742 93 medio,medio,openai,2,,Lucas Martini (estudante do 9º período de direito e assistente jurídico),2026-06-15T03:59:37.826450
19,7,Qual a redação atualmente vigente do artigo que define os dependentes do segurado?,lei 8213 91 dificil,dificil,deepseek,1,,Lucas Martini (estudante do 9º período de direito e assistente jurídico),2026-06-15T04:01:09.341855
20,7,Qual a redação atualmente vigente do artigo que define os dependentes do segurado?,lei 8213 91 dificil,dificil,openai,1,,Lucas Martini (estudante do 9º período de direito e assistente jurídico),2026-06-15T04:01:09.359281
21,7,Qual a redação atualmente vigente do artigo que define os dependentes do segurado?,lei 8213 91 dificil,dificil,maritaca,1,,Lucas Martini (estudante do 9º período de direito e assistente jurídico),2026-06-15T04:01:09.374644
22,8,Quais são os requisitos da aposentadoria por invalidez (incapacidade permanente)?,lei 8213 91 dificil,dificil,maritaca,5,,Lucas Martini (estudante do 9º período de direito e assistente jurídico),2026-06-15T04:02:26.592447
23,8,Quais são os requisitos da aposentadoria por invalidez (incapacidade permanente)?,lei 8213 91 dificil,dificil,deepseek,5,,Lucas Martini (estudante do 9º período de direito e assistente jurídico),2026-06-15T04:02:26.609573
24,8,Quais são os requisitos da aposentadoria por invalidez (incapacidade permanente)?,lei 8213 91 dificil,dificil,openai,4,,Lucas Martini (estudante do 9º período de direito e assistente jurídico),2026-06-15T04:02:26.624199
25,9,Cite dispositivos da lei que foram revogados.,lei 8213 91 dificil,dificil,maritaca,4,,Lucas Martini (estudante do 9º período de direito e assistente jurídico),2026-06-15T04:03:28.565568
26,9,Cite dispositivos da lei que foram revogados.,lei 8213 91 dificil,dificil,deepseek,3,,Lucas Martini (estudante do 9º período de direito e assistente jurídico),2026-06-15T04:03:28.586615
27,9,Cite dispositivos da lei que foram revogados.,lei 8213 91 dificil,dificil,openai,5,,Lucas Martini (estudante do 9º período de direito e assistente jurídico),2026-06-15T04:03:28.605923
